STATEFP|PLACEFP|NAME|NAMELSAD
54|73636|Shinnston|Shinnston city
54|74380|Sistersville|Sistersville city
54|74740|Smithers|Smithers city
54|74788|Smithfield|Smithfield town
54|75172|Sophia|Sophia town
54|75292|South Charleston|South Charleston city
54|75820|Spencer|Spencer city
54|76516|Star City|Star City town
54|77188|Stonewood|Stonewood city
54|77980|Summersville|Summersville city
54|78580|Sutton|Sutton town
54|78964|Sylvester|Sylvester town
54|79708|Terra Alta|Terra Alta town
54|80020|Thomas|Thomas city
54|80284|Thurmond|Thurmond town
54|80932|Triadelphia|Triadelphia town
54|81268|Tunnelton|Tunnelton town
54|81940|Union|Union town
54|82732|Valley Grove|Valley Grove village
54|83500|Vienna|Vienna city
54|84484|War|War city
54|84580|Wardensville|Wardensville town
54|84940|Wayne|Wayne town
54|85156|Weirton|Weirton city
54|85228|Welch|Welch city
54|85324|Wellsburg|Wellsburg city
54|85804|West Hamlin|West Hamlin town
54|85876|West Liberty|West Liberty town
54|85900|West Logan|West Logan town
54|85924|West Milford|West Milford town
54|85972|Weston|Weston city
54|85996|Westover|Westover city
54|86116|West Union|West Union town
54|86452|Wheeling|Wheeling city
54|86620|White Hall|White Hall town
54|86812|White Sulphur Springs|White Sulphur Springs city
54|86836|Whitesville|Whitesville town
54|87508|Williamson|Williamson city
54|87556|Williamstown|Williamstown city
54|87892|Windsor Heights|Windsor Heights village
54|87988|Winfield|Winfield town
54|88324|Womelsdorf (Coalton)|Womelsdorf (Coalton) town
54|88708|Worthington|Worthington town
44|14140|Central Falls|Central Falls city
44|19180|Cranston|Cranston city
44|22960|East Providence|East Providence city
44|49960|Newport|Newport city
44|54640|Pawtucket|Pawtucket city
44|59000|Providence|Providence city
44|74300|Warwick|Warwick city
44|80780|Woonsocket|Woonsocket city
37|00160|Aberdeen|Aberdeen town
37|00500|Ahoskie|Ahoskie town
37|00640|Alamance|Alamance village
37|00680|Albemarle|Albemarle city
37|01000|Alliance|Alliance town
37|01380|Andrews|Andrews town
37|01400|Angier|Angier town
37|01420|Ansonville|Ansonville town
37|01520|Apex|Apex town
37|01640|Arapahoe|Arapahoe town
37|01720|Archdale|Archdale city
37|01760|Archer Lodge|Archer Lodge town
37|02080|Asheboro|Asheboro city
37|02140|Asheville|Asheville city
37|02320|Askewville|Askewville town
37|02460|Atkinson|Atkinson town
37|02500|Atlantic Beach|Atlantic Beach town
37|02580|Aulander|Aulander town
37|02620|Aurora|Aurora town
37|02700|Autryville|Autryville town
37|02840|Ayden|Ayden town
37|02960|Badin|Badin town
37|03020|Bailey|Bailey town
37|03100|Bakersville|Bakersville town
37|03150|Bald Head Island|Bald Head Island village
37|03500|Banner Elk|Banner Elk town
37|03840|Bath|Bath town
37|03960|Bayboro|Bayboro town
37|04180|Bear Grass|Bear Grass town
37|04260|Beaufort|Beaufort town
37|04510|Beech Mountain|Beech Mountain town
37|04640|Belhaven|Belhaven town
37|04840|Belmont|Belmont city
37|04950|Belville|Belville town
37|04960|Belwood|Belwood town
37|05040|Benson|Benson town
37|05135|Bermuda Run|Bermuda Run town
37|05220|Bessemer City|Bessemer City city
37|05340|Bethania|Bethania town
37|05460|Bethel|Bethel town
37|05660|Beulaville|Beulaville town
37|05880|Biltmore Forest|Biltmore Forest town
37|06000|Biscoe|Biscoe town
37|06080|Black Creek|Black Creek town
37|06140|Black Mountain|Black Mountain town
37|06240|Bladenboro|Bladenboro town
37|06500|Blowing Rock|Blowing Rock town
37|06660|Boardman|Boardman town
37|06740|Bogue|Bogue town
37|06760|Boiling Spring Lakes|Boiling Spring Lakes city
37|06800|Boiling Springs|Boiling Springs town
37|06820|Bolivia|Bolivia town
37|06860|Bolton|Bolton town
37|07080|Boone|Boone town
37|07140|Boonville|Boonville town
37|07220|Bostic|Bostic town
37|07720|Brevard|Brevard city
37|07860|Bridgeton|Bridgeton town
37|08080|Broadway|Broadway town
37|08140|Brookford|Brookford town
37|08420|Brunswick|Brunswick town
37|08480|Bryson City|Bryson City town
37|08860|Bunn|Bunn town
37|08960|Burgaw|Burgaw town
37|09060|Burlington|Burlington city
37|09140|Burnsville|Burnsville town
37|09360|Butner|Butner town
37|09530|Cajah's Mountain|Cajah's Mountain town
37|09540|Calabash|Calabash town
37|09760|Calypso|Calypso town
37|09800|Cameron|Cameron town
37|10120|Candor|Candor town
37|10240|Canton|Canton town
37|10260|Cape Carteret|Cape Carteret town
37|10500|Carolina Beach|Carolina Beach town
37|10550|Carolina Shores|Carolina Shores town
37|10620|Carrboro|Carrboro town
37|10680|Carthage|Carthage town
37|10740|Cary|Cary town
37|10760|Casar|Casar town
37|10860|Castalia|Castalia town
37|10960|Caswell Beach|Caswell Beach town
37|10980|Catawba|Catawba town
37|11340|Cedar Point|Cedar Point town
37|11352|Cedar Rock|Cedar Rock village
37|11620|Cerro Gordo|Cerro Gordo town
37|11640|Chadbourn|Chadbourn town
37|11800|Chapel Hill|Chapel Hill town
37|12000|Charlotte|Charlotte city
37|12340|Cherryville|Cherryville city
37|12460|Chimney Rock Village|Chimney Rock Village village
37|12480|China Grove|China Grove town
37|12580|Chocowinity|Chocowinity town
37|12720|Claremont|Claremont city
37|12780|Clarkton|Clarkton town
37|12860|Clayton|Clayton town
37|12960|Clemmons|Clemmons village
37|13000|Cleveland|Cleveland town
37|13240|Clinton|Clinton city
37|13280|Clyde|Clyde town
37|13360|Coats|Coats town
37|13460|Cofield|Cofield village
37|13560|Colerain|Colerain town
37|13940|Columbia|Columbia town
37|13980|Columbus|Columbus town
37|14060|Como|Como town
37|14100|Concord|Concord city
37|14200|Conetoe|Conetoe town
37|14280|Connelly Springs|Connelly Springs town
37|14340|Conover|Conover city
37|14400|Conway|Conway town
37|14460|Cooleemee|Cooleemee town
37|14700|Cornelius|Cornelius town
37|15020|Cove City|Cove City town
37|15260|Cramerton|Cramerton town
37|15320|Creedmoor|Creedmoor city
37|15420|Creswell|Creswell town
37|15580|Crossnore|Crossnore town
37|16180|Dallas|Dallas town
37|16240|Danbury|Danbury town
37|16400|Davidson|Davidson town
37|16820|Dellview|Dellview town
37|16980|Denton|Denton town
37|17180|Dillsboro|Dillsboro town
37|17325|Dobbins Heights|Dobbins Heights town
37|17340|Dobson|Dobson town
37|17520|Dortches|Dortches town
37|17660|Dover|Dover town
37|17860|Drexel|Drexel town
37|18040|Dublin|Dublin town
37|18060|Duck|Duck town
37|18320|Dunn|Dunn city
37|19000|Durham|Durham city
37|19140|Earl|Earl town
37|19300|East Arcadia|East Arcadia town
37|19320|East Bend|East Bend town
37|19620|East Laurinburg|East Laurinburg town
37|19740|Eastover|Eastover town
37|19860|East Spencer|East Spencer town
37|20080|Eden|Eden city
37|20120|Edenton|Edenton town
37|20580|Elizabeth City|Elizabeth City city
37|20600|Elizabethtown|Elizabethtown town
37|20620|Elkin|Elkin town
37|20700|Elk Park|Elk Park town
37|20780|Ellenboro|Ellenboro town
37|20840|Ellerbe|Ellerbe town
37|20980|Elm City|Elm City town
37|21095|Elon|Elon town
37|21160|Emerald Isle|Emerald Isle town
37|21360|Enfield|Enfield town
37|21740|Erwin|Erwin town
37|21960|Eureka|Eureka town
37|22040|Everetts|Everetts town
37|22240|Fair Bluff|Fair Bluff town
37|22360|Fairmont|Fairmont town
37|22500|Fairview|Fairview town
37|22560|Faison|Faison town
